Bottleneck,Cpu_0,InterArrivalTime_0,Memory_0,QueueLength_0,QueueTime_0,ResponseTime_0,ServiceTime_0,Throughput_0,time,BrokerId_0,Timestamp_0,Throughput_1,Memory_1,ServiceTime_1,InterArrivalTime_1,BrokerId_1,Timestamp_1,Cpu_1,QueueLength_1,QueueTime_1,ResponseTime_1
False,6.048676457651184,0.000000,11870208,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:46,,,,,,,,,,,,
False,3.0649651484038962,0.000000,14094336,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:47,,,,,,,,,,,,
False,2.0524579349567214,0.000000,14094336,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:48,,,,,,,,,,,,
False,1.5472976075931957,0.000000,14094336,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:49,,,,,,,,,,,,
False,1.2405043362672619,0.000000,14102528,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:50,,,,,,,,,,,,
False,1.0358582297577308,0.000000,14106624,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:51,,,,,,,,,,,,
False,0.8873628078533113,0.000000,14110720,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:52,,,,,,,,,,,,
False,0.7776235428874501,0.000000,14118912,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:53,,,,,,,,,,,,
False,0.6918094958103463,0.000000,14118912,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:54,,,,,,,,,,,,
False,0.6223673735624833,0.000000,14118912,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:55,,,,,,,,,,,,
False,0.566212125765153,0.000000,14135296,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:56,,,,,,,,,,,,
False,0.5193326567052016,0.000000,14139392,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:57,,,,,,,,,,,,
False,0.47910077705470017,0.000000,14139392,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:58,,,,,,,,,,,,
False,0.4452419412295028,0.000000,14139392,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:23:59,,,,,,,,,,,,
False,0.41535790436957776,0.000000,14139392,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:00,,,,,,,,,,,,
False,0.38953059189098654,0.000000,14143488,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:01,,,,,,,,,,,,
False,0.3667994909245619,0.000000,14147584,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:02,,,,,,,,,,,,
False,0.3465814297422242,0.000000,14147584,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:03,,,,,,,,,,,,
False,0.3282188400639061,0.000000,14147584,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:04,,,,,,,,,,,,
False,0.31187340889671744,0.000000,14151680,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:05,,,,,,,,,,,,
False,0.29715432372710904,0.000000,14172160,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:06,,,,,,,,,,,,
False,0.2835241443264006,0.000000,14176256,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:07,,,,,,,,,,,,
False,0.27127828877516547,0.000000,14180352,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:08,,,,,,,,,,,,
False,0.26004466843439344,0.000000,14188544,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:09,,,,,,,,,,,,
False,0.24956200370976914,0.000000,14188544,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:10,,,,,,,,,,,,
False,0.24003068091365892,0.000000,14196736,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:11,,,,,,,,,,,,
False,0.23116221735000486,0.000000,14200832,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:12,,,,,,,,,,,,
False,0.22285916679532772,0.000000,14209024,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:13,,,,,,,,,,,,
False,0.2152406222958352,0.000000,14209024,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:14,,,,,,,,,,,,
False,0.20810238616089433,0.000000,14196736,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:15,,,,,,,,,,,,
False,0.20132537292594038,0.000000,14225408,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:16,,,,,,,,,,,,
False,0.19508507652383802,0.000000,14229504,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:17,,,,,,,,,,,,
False,0.18912942355527446,0.000000,14233600,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:18,,,,,,,,,,,,
False,0.18361167070562398,0.000000,14237696,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:19,,,,,,,,,,,,
False,0.17840501797767383,0.000000,14254080,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:20,,,,,,,,,,,,
False,0.1734021922964503,0.000000,14258176,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:21,,,,,,,,,,,,
False,0.16873948773240166,0.000000,14262272,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:22,,,,,,,,,,,,
False,0.1643090163087346,0.000000,14266368,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:23,,,,,,,,,,,,
False,0.16012027230581263,0.000000,14270464,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:24,,,,,,,,,,,,
False,0.1560857513540645,0.000000,14278656,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:25,,,,,,,,,,,,
False,0.1522939562250687,0.000000,14295040,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:26,,,,,,,,,,,,
False,0.14864182751535743,0.000000,14303232,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:27,,,,,,,,,,,,
False,0.14521339093857938,0.000000,14303232,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:28,,,,,,,,,,,,
False,0.141938212806182,0.000000,14307328,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:29,,,,,,,,,,,,
False,0.1387584048019413,0.000000,14311424,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:30,,,,,,,,,,,,
False,0.1357566953301543,0.000000,14315520,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:31,,,,,,,,,,,,
False,0.13287839795204157,0.000000,14319616,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:32,,,,,,,,,,,,
False,0.13008532573336423,0.000000,14331904,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:33,,,,,,,,,,,,
False,0.1274488436298265,0.000000,14340096,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:34,,,,,,,,,,,,
False,0.12491505176887469,0.000000,14344192,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:35,,,,,,,,,,,,
False,0.12243538108885084,0.000000,14352384,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:36,,,,,,,,,,,,
False,0.120094894104665,0.000000,14356480,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:37,,,,,,,,,,,,
False,0.11783616140812019,0.000000,14360576,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:38,,,,,,,,,,,,
False,0.11566731234627987,0.000000,14364672,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:39,,,,,,,,,,,,
False,0.1135447924450427,0.000000,14368768,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:40,,,,,,,,,,,,
False,0.111527102643753,0.000000,14385152,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:41,,,,,,,,,,,,
False,0.10955797249597059,0.000000,14385152,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:42,,,,,,,,,,,,
False,0.1076838353799545,0.000000,14389248,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:43,,,,,,,,,,,,
False,0.10586760746167297,0.000000,14393344,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:44,,,,,,,,,,,,
False,0.10410753861659681,0.000000,14393344,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:45,,,,,,,,,,,,
False,0.10239060989838335,0.000000,14401536,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:46,,,,,,,,,,,,
False,0.10072965581071469,0.000000,14405632,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:47,,,,,,,,,,,,
False,0.09914612564638436,0.000000,14409728,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:48,,,,,,,,,,,,
False,0.09760331529946288,0.000000,14413824,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:49,,,,,,,,,,,,
False,0.09609134405651952,0.000000,14417920,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:50,,,,,,,,,,,,
False,0.09464922389597537,0.000000,14430208,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:51,,,,,,,,,,,,
False,0.09322613670069121,0.000000,14430208,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:52,,,,,,,,,,,,
False,0.09186411978543853,0.000000,14434304,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:53,,,,,,,,,,,,
False,0.09052418759364764,0.000000,14438400,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:54,,,,,,,,,,,,
False,0.08924363642110537,0.000000,14442496,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:55,,,,,,,,,,,,
False,0.0879768195466464,0.000000,14454784,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:56,,,,,,,,,,,,
False,0.0867493523369694,0.000000,14462976,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:57,,,,,,,,,,,,
False,0.08557040054291448,0.000000,14475264,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:58,,,,,,,,,,,,
False,0.08440741293613048,0.000000,14475264,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:24:59,,,,,,,,,,,,
False,0.08329083313071117,0.000000,14479360,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:00,,,,,,,,,,,,
False,0.08218604874806702,0.000000,14487552,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:01,,,,,,,,,,,,
False,0.08112322811488833,0.000000,14491648,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:02,,,,,,,,,,,,
False,0.08008891740709298,0.000000,14491648,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:03,,,,,,,,,,,,
False,0.07908059978618909,0.000000,14495744,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:04,,,,,,,,,,,,
False,0.07808567693156113,0.000000,14503936,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:05,,,,,,,,,,,,
False,0.07712879132296704,0.000000,14508032,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:06,,,,,,,,,,,,
False,0.07617651529004837,0.000000,14512128,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:07,,,,,,,,,,,,
False,0.07526220312951921,0.000000,14520320,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:08,,,,,,,,,,,,
False,0.07436940031733102,0.000000,14540800,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:09,,,,,,,,,,,,
False,0.07349974130266654,0.000000,14540800,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:10,,,,,,,,,,,,
False,0.07263711708010114,0.000000,14548992,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:11,,,,,,,,,,,,
False,0.07180989369990627,0.000000,14553088,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:12,,,,,,,,,,,,
False,0.07098860788904736,0.000000,14561280,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:13,,,,,,,,,,,,
False,0.0701972043209742,0.000000,14569472,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:14,,,,,,,,,,,,
False,0.06941183098715811,0.000000,14577664,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:15,,,,,,,,,,,,
False,0.06865318656698315,0.000000,14585856,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:16,,,,,,,,,,,,
False,0.06790017057055185,0.000000,14598144,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:17,,,,,,,,,,,,
False,0.06717408386098182,0.000000,14602240,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:18,,,,,,,,,,,,
False,0.06646402611031929,0.000000,14606336,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:19,,,,,,,,,,,,
False,0.06575659241165367,0.000000,14606336,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:20,,,,,,,,,,,,
False,0.06507559197423078,0.000000,14618624,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:21,,,,,,,,,,,,
False,0.06440788124101807,0.000000,14622720,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:22,,,,,,,,,,,,
False,0.06374507355760771,0.000000,14626816,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:23,,,,,,,,,,,,
False,0.06310366569436336,0.000000,14626816,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:24,,,,,,,,,,,,
False,0.06247414195264579,0.000000,14630912,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:25,,,,,,,,,,,,
False,0.06186018762632382,0.000000,14639104,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:26,,,,,,,,,,,,
False,0.061246709622195084,0.000000,14639104,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:27,,,,,,,,,,,,
False,0.060656480448890715,0.000000,14651392,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:28,,,,,,,,,,,,
False,0.06006883350102469,0.000000,14659584,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:29,,,,,,,,,,,,
False,0.05949869523788046,0.000000,14663680,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:30,,,,,,,,,,,,
False,0.05894106571863379,0.000000,14680064,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:31,,,,,,,,,,,,
False,0.05839249966597622,0.000000,14692352,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:32,,,,,,,,,,,,
False,0.05784773182121029,0.000000,14696448,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:33,,,,,,,,,,,,
False,0.057320877419236686,0.000000,14696448,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:34,,,,,,,,,,,,
False,0.05679561475188106,0.000000,14700544,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:35,,,,,,,,,,,,
False,0.05628823524728584,0.000000,14708736,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:36,,,,,,,,,,,,
False,0.05578196577828701,0.000000,14716928,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:37,,,,,,,,,,,,
False,0.05529226362590475,0.000000,14716928,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:38,,,,,,,,,,,,
False,0.05480884539979179,0.000000,14729216,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:39,,,,,,,,,,,,
False,0.05432796666408845,0.000000,14741504,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:40,,,,,,,,,,,,
False,0.053862746203801264,0.000000,14745600,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:41,,,,,,,,,,,,
False,0.053398589953074435,0.000000,14749696,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:42,,,,,,,,,,,,
False,0.05294925929836076,0.000000,14753792,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:43,,,,,,,,,,,,
False,0.05250048314094615,0.000000,14757888,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:44,,,,,,,,,,,,
False,0.05206496928108083,0.000000,14761984,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:45,,,,,,,,,,,,
False,0.051637356545743404,0.000000,14774272,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:46,,,,,,,,,,,,
False,0.05120980249681954,0.000000,14778368,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:47,,,,,,,,,,,,
False,0.05079760959876052,0.000000,14778368,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:48,,,,,,,,,,,,
False,0.05038426153610164,0.000000,14786560,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:49,,,,,,,,,,,,
False,0.04998426711203347,0.000000,14794752,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:50,,,,,,,,,,,,
False,0.0495845797561206,0.000000,14807040,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:51,,,,,,,,,,,,
False,0.04919737497542728,0.000000,14807040,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:52,,,,,,,,,,,,
False,0.04881469710651101,0.000000,14815232,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:53,,,,,,,,,,,,
False,0.0484342180937494,0.000000,14819328,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:54,,,,,,,,,,,,
False,0.04806425082627523,0.000000,14819328,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:55,,,,,,,,,,,,
False,0.04769498213692044,0.000000,14827520,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:56,,,,,,,,,,,,
False,0.04733571571642683,0.000000,14831616,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:57,,,,,,,,,,,,
False,0.04697718617293466,0.000000,14835712,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:58,,,,,,,,,,,,
False,0.0466295116152681,0.000000,14835712,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:25:59,,,,,,,,,,,,
False,0.06942237029049914,0.000000,14811136,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:00,,,,,,,,,,,,
False,0.06891588923338118,0.000000,14827520,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:01,,,,,,,,,,,,
False,0.0684089005071371,0.000000,14827520,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:02,,,,,,,,,,,,
False,0.06791545933173505,0.000000,14831616,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:03,,,,,,,,,,,,
False,0.06742306698493067,0.000000,14839808,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:04,,,,,,,,,,,,
False,0.0669445119312565,0.000000,14843904,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:05,,,,,,,,,,,,
False,0.06647301061440394,0.000000,14852096,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:06,,,,,,,,,,,,
False,0.06600019925935358,0.000000,14856192,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:07,,,,,,,,,,,,
False,0.06554116644474521,0.000000,14864384,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:08,,,,,,,,,,,,
False,0.06508911196187683,0.000000,14868480,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:09,,,,,,,,,,,,
False,0.0646363963430383,0.000000,14872576,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:10,,,,,,,,,,,,
False,0.06419586274817722,0.000000,14880768,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:11,,,,,,,,,,,,
False,0.06375565482820679,0.000000,14884864,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:12,,,,,,,,,,,,
False,0.06332714073604696,0.000000,14888960,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:13,,,,,,,,,,,,
False,0.06290566268253847,0.000000,14893056,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:14,,,,,,,,,,,,
False,0.06248328901097612,0.000000,14897152,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:15,,,,,,,,,,,,
False,0.06207256829472253,0.000000,14901248,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:16,,,,,,,,,,,,
False,0.061660803615446985,0.000000,14909440,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:17,,,,,,,,,,,,
False,0.0612609646843111,0.000000,14913536,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:18,,,,,,,,,,,,
False,0.06086039443868972,0.000000,14917632,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:19,,,,,,,,,,,,
False,0.060470491071821286,0.000000,14917632,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:20,,,,,,,,,,,,
False,0.06007977463610635,0.000000,14929920,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:21,,,,,,,,,,,,
False,0.05969995562640803,0.000000,14938112,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:22,,,,,,,,,,,,
False,0.05931895053008898,0.000000,14942208,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:23,,,,,,,,,,,,
False,0.05894890328932592,0.000000,14958592,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:24,,,,,,,,,,,,
False,0.05857797615919109,0.000000,14966784,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:25,,,,,,,,,,,,
False,0.058217023167648485,0.000000,14979072,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:26,,,,,,,,,,,,
False,0.05785561797348071,0.000000,14979072,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:27,,,,,,,,,,,,
False,0.057502868508361095,0.000000,14983168,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:28,,,,,,,,,,,,
False,0.057150583605666175,0.000000,14987264,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:29,,,,,,,,,,,,
False,0.05680675488122494,0.000000,14987264,0,0.000000,0.000000,0.000000,0.000000,2024-05-22 20:26:30,,,,,,,,,,,,
